City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
621,Sabang,ID,82.27,light rain,5.8933,95.3214,Hotel Citra
623,Puri,IN,86.52,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
628,Hazorasp,UZ,89.44,clear sky,41.3194,61.0742,Kemping wifi hotel
629,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
632,Sakaiminato,JP,80.58,broken clouds,35.55,133.2333,Italian pasley
633,Arlit,NE,88.63,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
636,Ukiah,US,80.49,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
637,Etchojoa,MX,85.26,overcast clouds,26.9167,-109.6333,Cuadra RT
638,Nabire,ID,80.38,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
641,Gorontalo,ID,81.7,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
644,Aracati,BR,75.67,broken clouds,-4.5617,-37.7697,Hostel Pousada Ibiza
646,Khategaon,IN,86.92,overcast clouds,22.6,76.9167,savariya Lodge
647,Matamoros,MX,85.6,clear sky,25.5333,-103.25,Quinta Belem
648,Chukhloma,RU,78.94,clear sky,58.7525,42.6825,Berezka
653,Atar,MR,85.77,clear sky,20.5169,-13.0499,Oumou Elghoura
654,Kousseri,CM,80.56,broken clouds,12.0769,15.0306,Le Pilotis
658,Diu,IN,80.2,overcast clouds,20.7141,70.9822,Hotel Relax Inn
659,Gigmoto,PH,86.11,overcast clouds,13.7796,124.39,Cj's Travellers Inn
661,Acarau,BR,77.95,broken clouds,-2.8856,-40.12,castelo pizzaria
664,Bolgatanga,GH,75.87,clear sky,10.7856,-0.8514,Mama's Place
668,Iskateley,RU,76.1,overcast clouds,67.6803,53.1512,Hostel Agat
669,Lorengau,PG,83.57,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
670,Jacmel,HT,82.24,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
675,Millbrook,US,77.36,scattered clouds,32.4799,-86.3619,Courtyard by Marriott Montgomery Prattville
677,Douentza,ML,83.75,clear sky,14.9951,-2.9517,Ogomono Doumbo
682,Atbasar,KZ,81.95,clear sky,51.8,68.3333,Гостиничный Комплекс Saad
683,Majene,ID,85.12,few clouds,-3.5403,118.9707,Kost Putri RABBANI
687,Gastouri,GR,80.87,clear sky,39.56,19.8975,Aeolos Beach Resort
691,Kropotkin,RU,77.94,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
693,Mormugao,IN,81.66,overcast clouds,15.4,73.8,Coconut Creek Resort
