City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
87,Araouane,ML,18.9048,-3.5265,88.54,29,7,16.28,clear sky
88,Soe,ID,-9.8607,124.284,71.44,60,99,7.99,overcast clouds
89,Hailar,CN,49.2,119.7,75.81,54,100,13.98,heavy intensity rain
90,Belaya Gora,RU,68.5333,146.4167,79.9,48,75,8.39,broken clouds
91,La Paz,BO,-16.5,-68.15,33.78,22,35,5.75,scattered clouds
92,Bambous Virieux,MU,-20.3428,57.7575,74.21,60,40,17.27,scattered clouds
93,Kodiak,US,57.79,-152.4072,62.11,72,0,9.22,clear sky
94,Ahipara,NZ,-35.1667,173.1667,57.94,80,3,17.65,clear sky
95,Muzhi,RU,65.3667,64.6667,70.66,55,96,3.13,overcast clouds
96,Inhambane,MZ,-23.865,35.3833,64.38,100,20,3.44,few clouds
97,Glenluce,GB,54.8798,-4.8084,58.91,91,100,6.67,overcast clouds
98,Chiang Klang,TH,19.2938,100.8617,89.08,70,87,0.25,overcast clouds
99,Estevan,CA,49.1334,-102.9842,62.8,82,0,8.05,clear sky
100,Digha,IN,21.6833,87.55,85.44,80,100,15.97,overcast clouds
101,Fairview,US,40.8126,-73.999,71.42,64,0,11.99,clear sky
102,Sao Filipe,CV,14.8961,-24.4956,72.77,84,42,2.89,scattered clouds
103,Micheweni,TZ,-4.9667,39.8333,74.89,79,81,13.94,light rain
104,Touros,BR,-5.1989,-35.4608,72.81,92,28,10.36,scattered clouds
105,Cape Town,ZA,-33.9258,18.4232,54.12,93,75,6.91,broken clouds
106,Yumen,CN,40.2833,97.2,87.26,13,93,14.41,overcast clouds
107,Iracoubo,GF,5.4802,-53.2011,77.56,83,94,6.24,overcast clouds
108,Klaksvik,FO,62.2266,-6.589,50.92,91,91,44.49,moderate rain
109,Saskylakh,RU,71.9167,114.0833,46.13,62,100,15.14,overcast clouds
110,Hirara,JP,24.8,125.2833,88.07,70,40,6.91,scattered clouds
111,Torbay,CA,47.6666,-52.7314,60.28,68,75,17.27,broken clouds
112,Pangnirtung,CA,66.1451,-65.7125,49.39,86,100,1.88,light rain
113,Concepcion,CL,-36.827,-73.0498,51.6,71,100,6.91,light rain
114,Pakpattan,PK,30.341,73.3866,100.08,39,19,5.5,few clouds
